"YEAR","FIRMNAME","fivefirmid","FIRMID","CUSIPHEADERID","CUSIPHeaderName","CUSIPHISTORYID","CUSIPHistoryName","productname","PRODUCTID","OS","CPU","BUS","MHZ","RAM","HD","MONITOR","PRICE"
1994,"sun microsystems computer co.",154,154,"86681020","SUN MICROSYSTEMS INC","86681010","SUN MICROSYSTEMS INC","sparcstation lx",1078,1,5,2,,256000,424,0,7995
1995,"Advanced Video Products/Megascan",5,5,,,,,"dds-301",194,0,0,1,,4000,,0,8000
1996,"Pinnacle Data Systems, Inc.",130,130,"72348110","PINNACLE SYSTEMS INC","72348110","PINNACLE SYSTEMS INC","pinnacle datastation 2/2+",863,0,0,2,,128000,2100,0,8000
1991,"MIPS Computer Systems, Inc.",110,110,"60456510","MIPS COMPUTER SYSTEMS INC","60456510","MIPS COMPUTER SYSTEMS INC","mips magnum 3000",709,0,0,3,25,8000,200,0,8000
1995,"Pinnacle Data Systems, Inc.",130,130,"72348110","PINNACLE SYSTEMS INC","72348110","PINNACLE SYSTEMS INC","pinnacle datastation 2/2+",863,0,0,2,,128000,2100,0,8000
1993,"Pinnacle Data Systems, Inc.",130,130,"72348110","PINNACLE SYSTEMS INC","72348110","PINNACLE SYSTEMS INC","pinnacle sparcsystem iii",867,0,0,2,33,8000,207,0,8000
1996,"Clinicomp International",36,36,,,,,"clinicomp x terminal",159,0,0,7,,32000,,0,8000
1993,"Advanced Video Products/Megascan",5,5,,,,,"dds-301",194,0,0,1,,4000,,0,8000
1994,"Advanced Video Products/Megascan",5,5,,,,,"dds-301",194,0,0,1,,4000,,0,8000
1990,"digital equipment corp. (dec)",57,57,"25384910","DIGITAL EQUIPMENT","25384910","DIGITAL EQUIPMENT","color vaxstation 2000",164,14,21,7,,6000,318,1,8125
1995,"digital equipment corp. (dec)",57,57,"25384910","DIGITAL EQUIPMENT","25384910","DIGITAL EQUIPMENT","vaxstation 4000-60",1206,14,21,7,,8000,14700,1,8195
1996,"aries research, inc.",11,11,,,,,"marixx ss-dt workstation",677,2,1,2,50,32000,1000,0,8255
1996,"sanar systems, inc.",139,139,,,,,"sanar workstation 10/41",981,2,2,2,40,16000,424,0,8300
1995,"sanar systems, inc.",139,139,,,,,"sanar workstation 10/41",981,2,2,2,40,16000,424,0,8300
1996,"tatung co. of america, inc.",156,156,,,,,"super compstation 20s/50",1142,1,2,2,,512000,500,1,8300
1984,"Convergent Technologies, Inc.",45,45,"21247910","CONVERGENT INC","21247910","CONVERGENT INC","iws graphics workstation",653,1,0,11,8,128,,0,8350
1985,"Convergent Technologies",45,45,"21247910","CONVERGENT INC","21247910","CONVERGENT INC","iws graphics workstation",653,1,0,11,8,128,,0,8350
1983,"Convergent Technologies, Inc.",45,45,"21247910","CONVERGENT INC","21247910","CONVERGENT INC","iws graphics workstation",653,1,0,11,8,128,,0,8350
1986,"Convergent Technologies",45,45,"21247910","CONVERGENT INC","21247910","CONVERGENT INC","iws graphics workstation",653,1,0,11,8,128,,0,8350
1994,"solid computer corp.",147,147,,,,,"solidsparc station 40",1021,2,1,2,40,8000,207,0,8391
1993,"solid computer corp.",147,147,,,,,"solidsparc station 40",1021,2,1,2,40,8000,207,0,8391
1995,"aspen systems, inc.",14,14,,,,,"alpin 200",48,4,3,8,200,16000,1000,0,8395
1992,"apollo computer, inc.",10,10,"03790410","APOLLO COMPUTER INC","03790410","APOLLO COMPUTER INC","domain series 3500 personal workstation",297,19,17,3,25,4000,155,1,8490
1996,"digital equipment corp. (dec)",57,57,"25384910","DIGITAL EQUIPMENT","25384910","DIGITAL EQUIPMENT","decstation 5000-133hx",244,7,9,1,,16000,209,1,8490
1990,"apollo computer, inc.",10,10,"03790410","APOLLO COMPUTER INC","03790410","APOLLO COMPUTER INC","domain series 3500 personal workstation",297,19,17,3,25,4000,155,1,8490
1991,"apollo computer, inc.",10,10,"03790410","APOLLO COMPUTER INC","03790410","APOLLO COMPUTER INC","domain series 3500 personal workstation",297,19,17,3,25,4000,155,1,8490
1995,"digital equipment corp. (dec)",57,57,"25384910","DIGITAL EQUIPMENT","25384910","DIGITAL EQUIPMENT","decstation 5000-133hx",244,7,9,1,,16000,209,1,8490
1993,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp 9000 series 300 model 340c+",452,9,17,7,,16000,571,0,8495
1995,"ibm",82,82,"45920010","INTL BUSINESS MACHINES CORP","45920010","INTL BUSINESS MACHINES CORP","rs/6000 powerstation 25t",915,10,4,9,,256000,2200,1,8495
1996,"ibm",82,82,"45920010","INTL BUSINESS MACHINES CORP","45920010","INTL BUSINESS MACHINES CORP","rs/6000 powerstation 25t",915,10,4,9,,256000,2200,1,8495
1992,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp 9000 series 300 model 340c+",452,9,17,7,,16000,571,0,8495
1994,"digital equipment corp. (dec)",57,57,"25384910","DIGITAL EQUIPMENT","25384910","DIGITAL EQUIPMENT","decstation 5000-133mx",245,7,9,1,33,8000,209,1,8495
1993,"digital equipment corp. (dec)",57,57,"25384910","DIGITAL EQUIPMENT","25384910","DIGITAL EQUIPMENT","decstation 5000-133mx",245,7,9,1,33,8000,209,1,8495
1991,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp 9000 series 300 model 340c+",452,9,17,7,,16000,571,0,8495
1990,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp 9000 series 300 model 340c+",452,9,17,7,,16000,571,0,8495
1995,"ibm",82,82,"45920010","INTL BUSINESS MACHINES CORP","45920010","INTL BUSINESS MACHINES CORP","rs/6000 powerstation 34h",920,10,4,9,,256000,4000,1,8500
1996,"ibm",82,82,"45920010","INTL BUSINESS MACHINES CORP","45920010","INTL BUSINESS MACHINES CORP","rs/6000 powerstation 34h",920,10,4,9,,256000,4000,1,8500
1991,"digital equipment corp. (dec)",57,57,"25384910","DIGITAL EQUIPMENT","25384910","DIGITAL EQUIPMENT","decstation3100",262,8,37,1,16,4000,,1,8500
1983,"Orcatech",175,175,,,,,,1273,1,0,,1,,,0,8500
1993,"data general corp.",51,51,"23768810","DATA GENERAL CORP","23768810","DATA GENERAL CORP","av410 series",67,12,19,7,,128000,9800,0,8500
1988,"Xepix, Inc.",169,169,,,,,"g/bg workstation",344,0,0,,,,,0,8500
1984,"Orcatech",175,175,,,,,,1273,1,0,,1,,,0,8500
1995,"promox systems",132,132,,,,,"ss-10/41",1085,2,1,2,40,32000,,0,8545
1994,"digital equipment corp. (dec)",57,57,"25384910","DIGITAL EQUIPMENT","25384910","DIGITAL EQUIPMENT","decstation 5000-133hx",244,7,9,1,33,16000,209,1,8595
1995,"sun microsystems computer co.",154,154,"86681020","SUN MICROSYSTEMS INC","86681010","SUN MICROSYSTEMS INC","sparcstation 5turbogxplus",1073,1,1,2,,256000,42000,0,8595
1996,"sun microsystems computer co.",154,154,"86681020","SUN MICROSYSTEMS INC","86681010","SUN MICROSYSTEMS INC","sparcstation 5turbogxplus",1073,1,1,2,,256000,42000,0,8595
1989,"digital equipment corp. (dec)",57,57,"25384910","DIGITAL EQUIPMENT","25384910","DIGITAL EQUIPMENT","vaxlab scientific workstation",1191,14,21,7,,16000,477,1,8625
1991,"data general corp.",51,51,"23768810","DATA GENERAL CORP","23768810","DATA GENERAL CORP","av300 series",64,12,38,1,,24000,2600,0,8650
1992,"data general corp.",51,51,"23768810","DATA GENERAL CORP","23768810","DATA GENERAL CORP","av300 series",64,12,38,1,,24000,2600,0,8650
1994,"digital equipment corp. (dec)",57,57,"25384910","DIGITAL EQUIPMENT","25384910","DIGITAL EQUIPMENT","decstation 5000-133",243,8,9,7,33,16000,,1,8665
1992,"CMS Enhancements, Inc.",37,37,"03070P10","AMERIQUEST TECHNOLOGIES INC","12589740","C M S ENHANCEMENTS INC","cms sparc workstation",161,0,0,2,25,8000,205,0,8695
1991,"CMS Enhancements, Inc.",37,37,"03070P10","AMERIQUEST TECHNOLOGIES INC","12589740","C M S ENHANCEMENTS INC","cms sparc workstation",161,0,0,,25,,,0,8695
1996,"sanar systems, inc.",139,139,,,,,"sanar workstation 10/51",982,2,2,2,50,16000,,0,8745
1995,"sanar systems, inc.",139,139,,,,,"sanar workstation 10/51",982,2,2,2,50,16000,,0,8745
1996,"ibm",82,82,"45920010","INTL BUSINESS MACHINES CORP","45920010","INTL BUSINESS MACHINES CORP","rs/6000 powerstation 42w",936,10,12,9,,256000,4400,1,8745
1988,"apollo computer, inc.",10,10,"03790410","APOLLO COMPUTER INC","03790410","APOLLO COMPUTER INC","domain series 4000 personal workstation",298,19,16,3,25,4000,,1,8900
1993,"dtk computer, inc.",58,58,,,,,"dtk station vme 2",320,2,1,1,40,16000,207,0,8900
1989,"Sun Microsystems Computer Co.",154,154,"86681020","SUN MICROSYSTEMS INC","86681010","SUN MICROSYSTEMS INC","sun-3/60s",1117,1,0,1,20,4000,,0,8900
1989,"apollo computer, inc.",10,10,"03790410","APOLLO COMPUTER INC","03790410","APOLLO COMPUTER INC","domain series 4000 personal workstation",298,19,16,3,25,4000,,1,8900
1992,"digital equipment corp. (dec)",57,57,"25384910","DIGITAL EQUIPMENT","25384910","DIGITAL EQUIPMENT","vaxstation 3100-76",1198,14,21,7,,32000,208,1,8950
1995,"mobius computer corp.",111,111,,,,,"mirage ips/10 model 30",711,2,2,2,36,16000,,0,8985
1993,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp apollo series 700 model 705 color",513,9,30,7,,8000,660,0,8990
1994,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp apollo series 700 model 705 color",513,9,30,7,,8000,660,0,8990
1993,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp apollo 9000 series 400 model 425t grx",495,9,18,7,,64000,840,0,8990
1992,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp apollo 9000 series 400 model 425t",494,9,18,7,25,8000,,1,8990
1992,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp apollo 9000 series 400 model 425t grx",495,9,18,7,,64000,840,0,8990
1991,"Ramtek Corp.",134,134,"75187430","RAMTEK CORP","75187430","RAMTEK CORP","model 4322-1,2",731,0,0,7,,400,,0,8995
1992,"Opus Systems",123,123,,,,,"personal mainframe 5120",829,0,0,2,40,8000,,0,8995
1990,"Ramtek Corp.",134,134,"75187430","RAMTEK CORP","75187430","RAMTEK CORP","model 4322-1,2",731,0,0,7,,400,,0,8995
1992,"Ramtek Corp.",134,134,"75187430","RAMTEK CORP","75187430","RAMTEK CORP","model 4322-1,2",731,0,0,7,,400,,0,8995
1993,"Nematron Corp.",115,115,"80011110","SANDSTON CORP","64044110","NEMATRON CORP","iws-6000 series nemax industrial x-termi",652,0,0,7,,32000,,0,8995
1995,"aspen systems, inc.",14,14,,,,,"alpin 233",49,4,3,8,233,16000,1000,0,8995
1992,"Solbourne Computer, Inc.",145,145,,,,,"s4000 desktop workstation",961,1,0,2,,104000,200,0,8995
1991,"sun microsystems computer co.",154,154,"86681020","SUN MICROSYSTEMS INC","86681010","SUN MICROSYSTEMS INC","sparcstation 1+",1029,1,1,2,25,8000,208,0,8995
1991,"sun microsystems computer co.",154,154,"86681020","SUN MICROSYSTEMS INC","86681010","SUN MICROSYSTEMS INC","sparcstation 1",1028,1,1,2,20,8000,,0,8995
1996,"silicon graphics, inc.",143,143,"82705630","SILICON GRAPHICS INC","82705610","SILICON GRAPHICS INC","indy modeler",560,11,28,7,,32000,1000,0,8995
1989,"Ramtek Corp.",134,134,"75187430","RAMTEK CORP","75187430","RAMTEK CORP","model 4322-1,2",731,0,0,7,,400,,0,8995
1994,"Nematron Corp.",115,115,"80011110","SANDSTON CORP","64044110","NEMATRON CORP","iws-6000 series nemax industrial x-termi",652,0,0,7,,32000,,0,8995
1994,"sun microsystems computer co.",154,154,"86681020","SUN MICROSYSTEMS INC","86681010","SUN MICROSYSTEMS INC","sparcstation ipx",1077,1,1,2,40,16000,424,0,8995
1988,"Ramtek Corp.",134,134,"75187430","RAMTEK CORP","75187430","RAMTEK CORP","model 4322-1,2",731,0,0,7,,400,,0,8995
1995,"Nematron Corp.",115,115,"80011110","SANDSTON CORP","64044110","NEMATRON CORP","iws-6000 series nemax industrial x-termi",652,0,0,7,,32000,,0,8995
1991,"sun microsystems computer co.",154,154,"86681020","SUN MICROSYSTEMS INC","86681010","SUN MICROSYSTEMS INC","sparcstation ipc",1075,1,1,2,25,48000,207,0,8995
1991,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp apollo 9000 series 400 model 425t",494,9,18,7,25,8000,,1,8999
1992,"DTK Computer, Inc.",58,58,,,,,"dtk station vme",319,0,0,1,25,8000,207,0,8999
1992,"dtk computer, inc.",58,58,,,,,"dtk station 1 plus",309,2,1,2,20,8000,207,0,8999
1991,"sun microsystems computer co.",154,154,"86681020","SUN MICROSYSTEMS INC","86681010","SUN MICROSYSTEMS INC","sun-3/50m",1115,1,16,1,15,4000,,0,9000
1993,"Trigem Corp.",160,160,,,,,"sdt-200",989,0,0,2,25,8000,205,0,9000
1992,"digital equipment corp. (dec)",57,57,"25384910","DIGITAL EQUIPMENT","25384910","DIGITAL EQUIPMENT","decstation 5000-100a",236,8,9,7,25,8000,640,1,9000
1996,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp 9000 series 700 model 713/50",469,9,11,6,50,16000,525,0,9030
1994,"Control Data Systems, Inc.",43,43,"21238F10","CONTROL DATA SYSTEMS INC","21238F10","CONTROL DATA SYS INC","cdc 4330-330",122,1,0,3,33,8000,200,0,9160
1995,"promox systems",132,132,,,,,"ss-10/51",1086,2,1,2,50,32000,,0,9225
1990,"digital equipment corp. (dec)",57,57,"25384910","DIGITAL EQUIPMENT","25384910","DIGITAL EQUIPMENT","vaxlab scientific workstation",1191,14,21,7,,16000,477,1,9225
1993,"dtk computer, inc.",58,58,,,,,"dtk station 2",310,2,1,2,40,8000,207,0,9300
1996,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp 9000 series 700 model 712/80",468,9,11,7,80,16000,260,0,9320
1995,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp 9000 series 700 model 712/80",468,9,11,7,80,16000,260,0,9320
1993,"control data corp.",43,43,"21238F10","CONTROL DATA SYSTEMS INC","21238F10","CONTROL DATA SYS INC","cdc 4330",123,16,9,3,25,8000,200,0,9330
1992,"control data corp.",43,43,"21238F10","CONTROL DATA SYSTEMS INC","21238F10","CONTROL DATA SYS INC","cdc 4330",123,16,9,3,25,8000,200,0,9330
1996,"ibm",82,82,"45920010","INTL BUSINESS MACHINES CORP","45920010","INTL BUSINESS MACHINES CORP","rs/6000 powerstation 41t",933,10,4,9,,256000,4400,1,9345
1993,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp apollo 9000 series 700 model 710",498,9,11,6,33,16000,210,0,9390
1994,"ibm",82,82,"45920010","INTL BUSINESS MACHINES CORP","45920010","INTL BUSINESS MACHINES CORP","rs/6000 powerstation 25t",915,10,4,9,,256000,2200,1,9395
1990,"sun microsystems computer co.",154,154,"86681020","SUN MICROSYSTEMS INC","86681010","SUN MICROSYSTEMS INC","sun-3/60s",1117,1,16,1,20,4000,,0,9450
1991,"sun microsystems computer co.",154,154,"86681020","SUN MICROSYSTEMS INC","86681010","SUN MICROSYSTEMS INC","sun-3/60s",1117,1,16,1,20,4000,,0,9450
1991,"sun microsystems computer co.",154,154,"86681020","SUN MICROSYSTEMS INC","86681010","SUN MICROSYSTEMS INC","sun-3/60",1116,1,16,1,16.700000762939453,24000,71,0,9450
1990,"apollo computer, inc.",10,10,"03790410","APOLLO COMPUTER INC","03790410","APOLLO COMPUTER INC","domain series 4000 personal workstation",298,19,16,3,25,4000,,1,9490
1990,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp 9000 series 300 model 350mh",456,9,16,7,,2000,,0,9500
1989,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp 9000 series 300 model 350mh",456,9,16,7,,2000,,0,9500
1992,"data general corp.",51,51,"23768810","DATA GENERAL CORP","23768810","DATA GENERAL CORP","av400 series",66,12,38,1,,8000,,0,9500
1989,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp 9000 series 300 model 319c+",448,9,39,7,,1000,,0,9500
1995,"Unimicro Systems, Inc.",162,162,,,,,"unimicro station 10 model 41",1185,0,0,2,40,32000,1000,0,9500
1990,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp 9000 series 300 model 319c+",448,9,39,7,,1000,,0,9500
1991,"data general corp.",51,51,"23768810","DATA GENERAL CORP","23768810","DATA GENERAL CORP","av400 series",66,12,38,1,,8000,,0,9500
1990,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp 9000 series 300 model 350mh",456,9,16,7,,2000,,0,9500
1988,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp 9000 series 300 model 319c+",448,9,39,7,,1000,,0,9500
1994,"digital equipment corp. (dec)",57,57,"25384910","DIGITAL EQUIPMENT","25384910","DIGITAL EQUIPMENT","decsystem 5000-133",263,8,9,7,33,16000,,1,9525
1995,"sun microsystems computer co.",154,154,"86681020","SUN MICROSYSTEMS INC","86681010","SUN MICROSYSTEMS INC","sparcstation 5 (85mhz)",1070,1,5,2,85,16000,1000,0,9595
1996,"aries research, inc.",11,11,,,,,"marixx ss-ds workstation",676,2,2,2,50,32000,1000,0,9595
1993,"control data corp.",43,43,"21238F10","CONTROL DATA SYSTEMS INC","21238F10","CONTROL DATA SYS INC","cdc 4330-330",122,16,9,3,33,8000,200,0,9640
1992,"control data corp.",43,43,"21238F10","CONTROL DATA SYSTEMS INC","21238F10","CONTROL DATA SYS INC","cdc 4330-330",122,16,9,3,33,8000,200,0,9640
1994,"digital equipment corp. (dec)",57,57,"25384910","DIGITAL EQUIPMENT","25384910","DIGITAL EQUIPMENT","dec 3000-300hx axp",198,13,20,7,,64000,1050,1,9695
1995,"digital equipment corp. (dec)",57,57,"25384910","DIGITAL EQUIPMENT","25384910","DIGITAL EQUIPMENT","dec 3000-300x axp",202,7,3,7,175,32000,1000,1,9732
1995,"digital equipment corp. (dec)",57,57,"25384910","DIGITAL EQUIPMENT","25384910","DIGITAL EQUIPMENT","dec 3000-300x axp",202,7,3,7,175,64000,1050,1,9732
1987,"Xepix, Inc.",169,169,,,,,"g/s workstation",346,0,0,7,,,,0,9760
1989,"Xepix, Inc.",169,169,,,,,"g/s workstation",346,0,0,7,,,,0,9760
1988,"xepix, inc.",169,169,,,,,"g/s workstation",346,11,30,7,,,,0,9760
1991,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp 9000 series 300 model 319c+",448,9,39,7,,1000,,0,9785
1992,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp 9000 series 300 model 319c+",448,9,39,7,,1000,,0,9785
1993,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp 9000 series 300 model 319c+",448,9,39,7,,1000,,0,9785
1986,"Omnicomp Graphics Corp.",120,120,,,,,"omni 2000",788,0,0,3,,,,0,9800
1987,"Omnicomp Graphics Corp.",120,120,,,,,"omni 2000 gds",789,0,0,3,,,,0,9800
1989,"omnicomp graphics corp.",120,120,,,,,"omni 2000 gds",789,11,30,3,,,,0,9800
1988,"Omnicomp Graphics Corp.",120,120,,,,,"omni 2000 gds",789,0,0,3,,,,0,9800
1993,"digital equipment corp. (dec)",57,57,"25384910","DIGITAL EQUIPMENT","25384910","DIGITAL EQUIPMENT","decstation 5000-133hx",244,7,9,1,33,16000,209,1,9835
1996,"intergraph corp.",90,90,"45868310","INTERGRAPH CORP","45868310","INTERGRAPH CORP","intergraph tdz-30",580,11,14,8,,32000,1000,1,9900
1992,"Intergraph Corp.",90,90,"45868310","INTERGRAPH CORP","45868310","INTERGRAPH CORP","interserve 2000",603,0,0,7,,16000,200,0,9900
1990,"Spectragraphics Corp.",149,149,,,,,"designset 1080 family",272,0,0,7,,8000,,0,9900
1985,"Apollo Computer, Inc.",10,10,"03790410","APOLLO COMPUTER INC","03790410","APOLLO COMPUTER INC","domain dn300",286,1,0,7,10,1000,,0,9900
1992,"Spectragraphics Corp.",149,149,,,,,"designset 1080 family",272,0,0,7,,8000,,0,9900
1991,"Intergraph Corp.",90,90,"45868310","INTERGRAPH CORP","45868310","INTERGRAPH CORP","interserve 2000",603,0,0,7,,16000,200,0,9900
1993,"Spectragraphics Corp.",149,149,,,,,"commset 1080 family",166,0,0,7,,8000,,0,9900
1991,"Spectragraphics Corp.",149,149,,,,,"designset 1080 family",272,0,0,7,,8000,,0,9900
1986,"Apollo Computer, Inc.",10,10,"03790410","APOLLO COMPUTER INC","03790410","APOLLO COMPUTER INC","domain dn300",286,1,0,7,10,1000,,0,9900
1986,"Decision Graphics",54,54,,,,,"peac 4100 series",810,0,0,,,,,0,9950
1985,"Decision Graphics",54,54,,,,,"peac 4100 series",810,0,0,,,,,0,9950
1994,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp apollo 9000 series 700 model 710",498,9,11,6,50,16000,210,0,9965
1995,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp apollo 9000 series 700 model 710",498,9,11,6,50,16000,210,0,9965
1995,"mobius computer corp.",111,111,,,,,"mirage ips/10 model 40",712,2,2,2,40,16000,,0,9985
1992,"tatung co. of america, inc.",156,156,,,,,"compstation 40",169,1,1,2,40,128000,680,1,9990
1992,"solbourne computer, inc.",145,145,,,,,"s4000dx desktop workstation",962,1,1,2,,104000,200,0,9995
1990,"tektronix, inc.",158,158,"87913110","TEKTRONIX INC","87913110","TEKTRONIX INC","model 4315 graphics netstation",727,11,16,7,,13000,86,0,9995
1994,"sun microsystems computer co.",154,154,"86681020","SUN MICROSYSTEMS INC","86681010","SUN MICROSYSTEMS INC","sparcstation ipc",1075,1,1,2,25,8000,207,0,9995
1995,"ibm",82,82,"45920010","INTL BUSINESS MACHINES CORP","45920010","INTL BUSINESS MACHINES CORP","rs/6000 powerstation 41w",934,10,4,9,,256000,4400,1,9995
1989,"Tektronix, Inc.",158,158,"87913110","TEKTRONIX INC","87913110","TEKTRONIX INC","model 4315 graphics netstation",727,0,0,7,,13000,86,1,9995
1988,"Tektronix, Inc.",158,158,"87913110","TEKTRONIX INC","87913110","TEKTRONIX INC","model 4315 graphics netstation",727,0,0,7,,13000,86,1,9995
1995,"digital equipment corp. (dec)",57,57,"25384910","DIGITAL EQUIPMENT","25384910","DIGITAL EQUIPMENT","dec 3000-300 axp",197,7,3,7,150,32000,1000,1,9995
1993,"sun microsystems computer co.",154,154,"86681020","SUN MICROSYSTEMS INC","86681010","SUN MICROSYSTEMS INC","sparcstation ipx",1077,1,1,2,40,16000,424,0,9995
1994,"digital equipment corp. (dec)",57,57,"25384910","DIGITAL EQUIPMENT","25384910","DIGITAL EQUIPMENT","dec 3000-300 axp",197,7,3,7,150,32000,1000,1,9995
1992,"Silicon Graphics, Inc.",143,143,"82705630","SILICON GRAPHICS INC","82705610","SILICON GRAPHICS INC","iris indigo",636,1,0,7,40,96000,432,0,9995
1993,"dtk computer, inc.",58,58,,,,,"dtk station 2m",312,2,1,2,40,32000,425,0,9995
1993,"sun microsystems computer co.",154,154,"86681020","SUN MICROSYSTEMS INC","86681010","SUN MICROSYSTEMS INC","sparcstation ipc",1075,1,1,2,25,8000,207,0,9995
1990,"Opus Systems",123,123,,,,,"personal mainframe 88sds",834,0,0,3,20,4000,,0,9995
1995,"aspen systems, inc.",14,14,,,,,"alpin 275",50,4,3,8,275,16000,1000,0,9995
1993,"data general corp.",51,51,"23768810","DATA GENERAL CORP","23768810","DATA GENERAL CORP","av310 series",65,12,19,7,,112000,7000,0,9995
1995,"sun microsystems computer co.",154,154,"86681020","SUN MICROSYSTEMS INC","86681010","SUN MICROSYSTEMS INC","sparcstation voyager",1080,2,5,2,80,16000,340,0,9995
1996,"integrix, inc.",88,88,,,,,"sws20e",1161,1,6,2,,512000,1000,0,9995
1994,"digital equipment corp. (dec)",57,57,"25384910","DIGITAL EQUIPMENT","25384910","DIGITAL EQUIPMENT","vaxstation 4000-60",1206,14,21,7,,8000,14700,1,9995
1995,"hewlett- packard co.",78,78,"42823610","HEWLETT-PACKARD CO","42823610","HEWLETT-PACKARD CO","hp 9000 series 700 model 715/64",472,9,11,6,64,256000,84000,0,9995
1988,"Intergraph Corp.",90,90,"45868310","INTERGRAPH CORP","45868310","INTERGRAPH CORP","interpro 32",595,0,0,7,,,,0,10000
1992,"control data corp.",43,43,"21238F10","CONTROL DATA SYSTEMS INC","21238F10","CONTROL DATA SYS INC","cyber 910-430",187,14,37,1,,8000,380,0,10000
1993,"control data corp.",43,43,"21238F10","CONTROL DATA SYSTEMS INC","21238F10","CONTROL DATA SYS INC","cyber 910-430",187,14,37,1,,8000,380,0,10000
1992,"silicon graphics, inc.",143,143,"82705630","SILICON GRAPHICS INC","82705610","SILICON GRAPHICS INC","personal iris 4d/20",823,11,9,1,12.5,16000,344,0,10000
1986,"Sun Microsystems Computer Co.",154,154,"86681020","SUN MICROSYSTEMS INC","86681010","SUN MICROSYSTEMS INC","sun-2/120",1102,1,0,1,10,1000,,0,10000
1991,"Mentor Graphics Corp.",108,108,"58720010","MENTOR GRAPHICS CORP","58720010","MENTOR GRAPHICS CORP","mentor idea series",698,0,0,7,,32000,760,0,10000
1985,"Orcatech",175,175,,,,,,1275,1,0,,8,,,0,10000
1988,"Mentor Graphics Corp.",108,108,"58720010","MENTOR GRAPHICS CORP","58720010","MENTOR GRAPHICS CORP","mentor idea series",698,0,0,7,,32000,760,0,10000
1984,"Sun Microsystems Computer Co.",154,154,"86681020","SUN MICROSYSTEMS INC","86681010","SUN MICROSYSTEMS INC","sun-2/170",1103,1,0,1,10,2000,,0,10000
1985,"Sun Microsystems Computer Co.",154,154,"86681020","SUN MICROSYSTEMS INC","86681010","SUN MICROSYSTEMS INC","sun-2/170",1103,1,0,1,10,2000,,0,10000
1995,"unimicro systems, inc.",162,162,,,,,"unimicro station 10 model 51",1186,2,2,2,50,32000,1000,0,10000
1992,"Mentor Graphics Corp.",108,108,"58720010","MENTOR GRAPHICS CORP","58720010","MENTOR GRAPHICS CORP","mentor idea series",698,0,0,7,,32000,760,0,10000
1993,"trigem corp.",160,160,,,,,"sdt-400",991,1,1,2,40,16000,414,0,10000
1990,"Mentor Graphics Corp.",108,108,"58720010","MENTOR GRAPHICS CORP","58720010","MENTOR GRAPHICS CORP","mentor idea series",698,0,0,7,,32000,760,0,10000
