YEAR,FIRMNAME,FIVEFIRMID,FIRMID,CUSIPHEADERID,CUSIPHeaderName,CUSIPHISTORYID,CUSIPHistoryName,FOUND,FATE,ESTATE,SALES,EMPLOY,ZIP,LAT,LON,RANDD,PRODUCTS,PTYPES,SYSTEM,GRAPHIC,CEO,OWN,CPU,OS,APPS,COMM,MONITOR,DISK,MEMORY,BOARD
1988,Bedford Computer Corp.,28,28,,,,,1975,,0,8351646.5,,3053,0.7481449842453000,-1.2457669973373400,,0,2,0,1,"Walter A. Alderman, Jr.",0,0,0,1,0,0,0,0,0
1989,Bedford Computer Corp.,28,28,,,,,1975,Left workstation market,1,7500000,60,3053,0.7481449842453000,-1.2457669973373400,,5,2,0,1,"Walter A. Alderman, Jr.",0,0,0,1,0,0,0,0,0
1990,"Bull HN Information Systems, Inc.",29,29,43850610,HONEYWELL INC,43850610,HONEYWELL INC,1987,,0,5002999808,45000,1821,0.742671012878418,-1.2435790300369300,,98,15,1,1,Roland D. Pampel,2,0,1,1,1,1,1,0,0
1991,"Bull HN Information Systems, Inc.",29,29,43850610,HONEYWELL INC,43850610,HONEYWELL INC,1987,,0,5002999808,43617,1821,0.742671012878418,-1.2435790300369300,,92,15,1,1,Axel Leblois,2,0,1,1,1,1,1,0,0
1992,"Bull HN Information Systems, Inc.",29,29,43850610,HONEYWELL INC,43850610,HONEYWELL INC,1987,,0,6349539840,44476,1821,0.742671012878418,-1.2435790300369300,,104,11,1,1,Axel Leblois,2,0,1,1,1,0,1,0,0
1993,"Bull HN Information Systems, Inc.",29,29,43850610,HONEYWELL INC,43850610,HONEYWELL INC,1987,,1,6000000000,39900,1821,0.742671012878418,-1.2435790300369300,,39,5,1,1,Axel Leblois,2,0,0,0,1,0,1,0,0
1983,"Cadnetix, Inc.",30,30,12759010,CADNETIX CORP,12759010,CADNETIX CORP,1982,,0,0,44,80301,0.6990000009536740,-1.8363349437713600,1068000,0,1,0,0,Bruce Holland,0,0,0,1,0,0,0,0,0
1984,"Cadnetix, Inc.",30,30,12759010,CADNETIX CORP,12759010,CADNETIX CORP,1982,,0,3997000,112,80301,0.6990000009536740,-1.8363349437713600,2069000,0,1,0,0,Bruce Holland,0,0,0,1,0,0,0,0,0
1985,"Cadnetix, Inc.",30,30,12759010,CADNETIX CORP,12759010,CADNETIX CORP,1982,,0,14142000,177,80301,0.6990000009536740,-1.8363349437713600,3359000,0,1,0,0,Bruce Holland,1,0,0,1,0,0,0,0,0
1986,"Cadnetix, Inc.",30,30,12759010,CADNETIX CORP,12759010,CADNETIX CORP,1982,,0,32585000,352,80301,0.6990000009536740,-1.8363349437713600,5140000,0,1,0,1,Bruce Holland,1,0,0,1,0,0,0,0,0
1987,"Cadnetix, Inc.",30,30,12759010,CADNETIX CORP,12759010,CADNETIX CORP,1982,,0,46490000,432,80301,0.6990000009536740,-1.8363349437713600,6063000,0,2,0,1,Bruce Holland,1,0,0,1,0,0,0,0,0
1988,"Cadnetix, Inc.",30,30,12759010,CADNETIX CORP,12759010,CADNETIX CORP,1982,,0,62433000,532,80301,0.6990000009536740,-1.8363349437713600,8021000,0,2,0,1,Bruce Holland,1,0,0,1,0,0,0,0,0
1989,"Cadnetix, Inc.",30,30,12759010,CADNETIX CORP,12759010,CADNETIX CORP,1982,,0,53000000,470,80301,0.6990000009536740,-1.8363349437713600,,6,2,0,1,Bruce Holland,1,0,0,1,0,0,0,0,0
1990,"Cadnetix, Inc.",30,30,,,,,1982,Merged w/ Daisy,1,60000000,550,80301,0.6990000009536740,-1.8363349437713600,,5,2,0,1,Bruce Holland,1,0,0,1,0,0,0,0,0
1995,Cail Systems,31,31,,,,,1980,,0,1,27,32750,0.5011190176010130,-1.4199169874191300,,12,3,0,1,Ron Thompson,0,0,0,1,0,0,0,0,0
1996,Cail Systems,31,31,,,,,1980,Switched to video conference,1,1,27,32750,0.5011190176010130,-1.4199169874191300,,12,3,0,1,Ron Thompson,0,0,0,1,0,0,0,0,0
1994,"Ceram, Inc.",32,32,,,,,1991,,0,1,20,80906,0.677016019821167,-1.8294529914856000,,2,3,1,0,Fred Gnadinger,0,0,0,0,0,0,1,0,0
1995,"Ceram, Inc.",32,32,,,,,1991,,1,1,20,80906,0.677016019821167,-1.8294529914856000,,2,3,1,0,Fred Gnadinger,0,0,0,0,0,0,1,0,0
1988,"Chemical Design, Inc.",33,33,,,,,1983,,0,5000000,42,7430,0.716884970664978,-1.2942650318145800,,0,2,0,1,Keith Davies,0,0,0,1,0,0,0,0,0
1989,"Chemical Design, Inc.",33,33,,,,,1983,,1,5000000,50,7430,0.716884970664978,-1.2942650318145800,,1,2,0,1,Keith Davies,0,0,0,1,0,0,0,0,0
1981,"Chromatics, Inc.",34,34,,,,,1976,,0,1000000,,30084,0.5909159779548650,-1.4698469638824500,,0,2,1,1,Randolph G. Richmond,0,0,0,0,0,0,0,0,0
1982,"Chromatics, Inc.",34,34,,,,,1976,,0,1258925.375,,30084,0.5909159779548650,-1.4698469638824500,,0,2,1,1,Randolph G. Richmond,0,0,0,0,0,0,0,0,0
1983,"Chromatics, Inc.",34,34,,,,,1976,,0,1584893.25,,30084,0.5909159779548650,-1.4698469638824500,,0,1,0,1,Terence S. Hughey,0,0,0,0,0,0,0,0,0
1984,"Chromatics, Inc.",34,34,,,,,1976,,0,1995262.375,,30084,0.5909159779548650,-1.4698469638824500,,0,2,0,1,Terence S. Hughey,0,0,0,0,0,0,0,0,0
1985,"Chromatics, Inc.",34,34,,,,,1976,,0,2511886.5,,30084,0.5909159779548650,-1.4698469638824500,,0,2,0,1,Terence S. Hughey,0,0,0,0,0,0,0,0,0
1986,"Chromatics, Inc.",34,34,,,,,1976,,0,3162277.75,,30084,0.5909159779548650,-1.4698469638824500,,0,2,0,1,Terence S. Hughey,0,0,0,1,0,0,0,0,0
1987,"Chromatics, Inc.",34,34,,,,,1976,,0,3981071.75,,30084,0.5909159779548650,-1.4698469638824500,,0,2,0,1,Terence S. Hughey,0,0,0,1,0,0,0,0,0
1988,"Chromatics, Inc.",34,34,,,,,1976,Acquired by Barco,2,5011872.5,,30084,0.5909159779548650,-1.4698469638824500,,0,3,0,1,Terence S. Hughey,2,0,0,1,0,0,0,0,0
1989,"Chromatics, Inc.",34,34,,,,,1976,,0,6309573.5,,30084,0.5909159779548650,-1.4698469638824500,,5,3,0,1,Terence S. Hughey,2,0,0,1,0,0,0,0,0
1990,"Chromatics, Inc.",34,34,,,,,1976,,0,7943282.5,,30084,0.5909159779548650,-1.4698469638824500,,6,3,0,1,Terence S. Hughey,2,0,0,1,0,0,0,0,0
1991,"Chromatics, Inc.",34,34,,,,,1976,Barco changes Barco Chromatics,1,10000000,,30084,0.5909159779548650,-1.4698469638824500,,8,3,0,1,Terence S. Hughey,2,0,0,1,0,0,0,0,0
1989,"Circuit Studios, Inc.",35,35,,,,,1982,,0,300000,11,20816,0.6799539923667910,-1.3459160327911400,,1,1,0,1,Garri Garripoli,0,0,0,0,0,0,0,0,0
1990,"Circuit Studios, Inc.",35,35,,,,,1982,,0,300000,11,20816,0.6799539923667910,-1.3459160327911400,,1,1,0,1,Garri Garripoli,0,0,0,0,0,0,0,0,0
1991,"Circuit Studios, Inc.",35,35,,,,,1982,No mention after 1991,1,300000,11,20816,0.6799539923667910,-1.3459160327911400,,1,1,0,1,Garri Garripoli,0,0,0,0,0,0,0,0,0
1996,Clinicomp International,36,36,,,,,1983,,0,1,,92121,0.574072003364563,-2.0455870628356900,,1,1,0,0,Chris Haudenschild,0,0,0,0,0,0,0,0,0
1990,"CMS Enhancements, Inc.",37,37,03070P10,AMERIQUEST TECHNOLOGIES INC,12589740,C M S ENHANCEMENTS INC,1983,,0,187724000,220,92715,0.587319016456604,-2.0563690662384000,1894000,0,11,1,0,Jim Farooquee,1,0,0,1,0,0,1,0,1
1991,"CMS Enhancements, Inc.",37,37,03070P10,AMERIQUEST TECHNOLOGIES INC,12589740,C M S ENHANCEMENTS INC,1983,,0,130062000,220,92715,0.587319016456604,-2.0563690662384000,2563000,0,11,1,0,Jim Farooquee,1,0,0,1,0,0,1,0,1
1992,"CMS Enhancements, Inc.",37,37,03070P10,AMERIQUEST TECHNOLOGIES INC,12589740,C M S ENHANCEMENTS INC,1983,Shuts down workstation division,1,115053000,220,92715,0.587319016456604,-2.0563690662384000,1508000,161,11,1,0,Jim Farooquee,1,0,0,1,0,0,1,0,1
1989,"Colorgraphics Systems, Inc.",38,38,,,,,1981,,0,1,,53719,0.7510510087013250,-1.5620579719543500,,4,1,0,1,,2,0,0,0,0,0,0,0,0
1990,"Colorgraphics Systems, Inc.",38,38,,,,,1981,,0,1,,53719,0.7510510087013250,-1.5620579719543500,,4,1,0,1,,2,0,0,0,0,0,0,0,0
1991,"Colorgraphics Systems, Inc.",38,38,,,,,1981,Name changed to Dynatech Colorgraphics,1,1,,53719,0.7510510087013250,-1.5620579719543500,,4,1,0,1,,2,0,0,0,0,0,0,0,0
1990,"Commodore Business Machines, Inc.",39,39,,,,,1976,,1,,,19380,0.6978600025177000,-1.319403052330020,,6,3,1,0,Harold Copperman,1,0,0,0,0,0,0,0,0
1992,CompuAdd Corp.,40,40,,,,,1982,,0,515600000,1500,78727,0.5310239791870120,-1.7055259943008400,,18,3,1,0,Bill Hayden,0,0,0,0,0,0,0,0,1
1993,CompuAdd Corp.,40,40,,,,,1982,Continue as clone manufacturer,1,513600000,1500,78727,0.5310239791870120,-1.7055259943008400,,55,3,1,0,Bill Hayden,0,0,0,0,0,0,0,0,1
1984,Computervision,41,41,20557T10,COMPUTERVISION CORP,20557T10,COMPUTERVISION CORP,1969,,0,556342016,6530,1730,0.7414910197258000,-1.2440149784088100,60895000,0,2,1,1,James R. Berrett,1,0,0,1,0,0,0,0,0
1985,Computervision,41,41,20557T10,COMPUTERVISION CORP,20557T10,COMPUTERVISION CORP,1969,,0,441136992,4770,1730,0.7414910197258000,-1.2440149784088100,61573000,0,2,1,1,Robert L. Gable,1,0,0,1,0,0,0,0,0
1986,Computervision,41,41,20557T10,COMPUTERVISION CORP,20557T10,COMPUTERVISION CORP,1969,,0,494672000,4775,1730,0.7414910197258000,-1.2440149784088100,52669000,0,2,1,1,Robert L. Gable,1,0,0,1,0,0,0,0,0
1987,Computervision,41,41,20557T10,COMPUTERVISION CORP,20557T10,COMPUTERVISION CORP,1969,,0,441000000,4800,1730,0.7414910197258000,-1.2440149784088100,,0,2,1,1,Robert L. Gable,1,0,0,1,0,0,0,0,0
1988,Computervision,41,41,20557T10,COMPUTERVISION CORP,20557T10,COMPUTERVISION CORP,1969,Acquired by Prime Computer,2,441000000,4800,1730,0.7414910197258000,-1.2440149784088100,,0,3,1,1,Robert L. Gable,1,0,0,1,0,0,0,0,0
1989,Computervision,41,41,20557T10,COMPUTERVISION CORP,20557T10,COMPUTERVISION CORP,1969,,0,564000000,4800,1730,0.7414910197258000,-1.2440149784088100,,7,3,1,1,Robert Fischer,2,0,0,1,0,0,0,0,0
1990,Computervision,41,41,20557T10,COMPUTERVISION CORP,20557T10,COMPUTERVISION CORP,1969,,0,443780256,6387.48779296875,1730,0.7414910197258000,-1.2440149784088100,87900000,4,3,1,1,Robert Fischer,2,0,0,1,0,0,0,0,0
1991,Computervision,41,41,20557T10,COMPUTERVISION CORP,20557T10,COMPUTERVISION CORP,1969,Spun off of Prime,3,349185984,8500,1730,0.7414910197258000,-1.2440149784088100,88500000,5,2,0,1,John J. Shields,2,0,0,1,0,0,0,0,0
1992,Computervision,41,41,20557T10,COMPUTERVISION CORP,20557T10,COMPUTERVISION CORP,1969,,0,254528000,5400,1730,0.7414910197258000,-1.2440149784088100,86700000,2,2,0,1,John J. Shields,1,0,0,1,0,0,0,0,0
1993,Computervision,41,41,20557T10,COMPUTERVISION CORP,20557T10,COMPUTERVISION CORP,1969,,1,140372992,3800,1730,0.7414910197258000,-1.2440149784088100,74449000,3,2,0,1,Russel E. Planitzer,1,0,0,1,0,0,0,0,0
1990,Concurrent Computer Corp.,42,42,20670910,CONCURRENT COMPUTER CORP,20670910,CONCURRENT COMPUTER CORP,1966,,0,340112992,2750,7724,0.7034170031547550,-1.292762041091920,43038000,0,5,1,1,Denis R. Brown,1,0,1,1,1,0,0,0,0
1991,Concurrent Computer Corp.,42,42,20670910,CONCURRENT COMPUTER CORP,20670910,CONCURRENT COMPUTER CORP,1966,,0,254944992,2000,7724,0.7034170031547550,-1.292762041091920,38064000,23,5,1,1,Denis R. Brown,1,0,1,1,1,0,0,0,0
1992,Concurrent Computer Corp.,42,42,20670910,CONCURRENT COMPUTER CORP,20670910,CONCURRENT COMPUTER CORP,1966,,0,221572000,1800,7724,0.7034170031547550,-1.292762041091920,26115000,26,5,1,1,Denis R. Brown,1,0,1,1,1,0,0,0,0
1993,Concurrent Computer Corp.,42,42,20670910,CONCURRENT COMPUTER CORP,20670910,CONCURRENT COMPUTER CORP,1966,,0,220464000,1700,7757,0.7036420106887820,-1.291828989982610,25824000,7,2,1,0,Denis R. Brown,1,0,1,1,0,0,0,0,0
1994,Concurrent Computer Corp.,42,42,20670910,CONCURRENT COMPUTER CORP,20670910,CONCURRENT COMPUTER CORP,1966,,0,179031008,1250,7757,0.7036420106887820,-1.291828989982610,23823000,5,2,1,0,John T. Stihl,1,0,1,1,0,0,0,0,0
1995,Concurrent Computer Corp.,42,42,20670910,CONCURRENT COMPUTER CORP,20670910,CONCURRENT COMPUTER CORP,1966,,0,140144000,1000,7757,0.7036420106887820,-1.291828989982610,19464000,4,2,1,0,John T. Stihl,1,0,1,1,0,0,0,0,0
1996,Concurrent Computer Corp.,42,42,20670910,CONCURRENT COMPUTER CORP,20670910,CONCURRENT COMPUTER CORP,1966,,0,95800000,,7757,0.7036420106887820,-1.291828989982610,,5,2,1,0,John T. Stihl,1,0,1,1,0,0,0,0,0
1984,Control Data Corp.,43,43,21238F10,CONTROL DATA SYSTEMS INC,21238F10,CONTROL DATA SYS INC,1957,,1,3692600064,48000,55440,0.7855700254440310,-1.6305350065231300,,0,16,1,1,Robert M. Price,1,0,1,1,1,0,1,1,0
1985,"Control Data Systems, Inc.",43,43,21238F10,CONTROL DATA SYSTEMS INC,21238F10,CONTROL DATA SYS INC,1957,,0,3679699968,39500,55440,0.7855700254440310,-1.6305350065231300,,0,15,1,1,Robert M. Price,1,0,1,1,0,0,0,0,0
1986,"Control Data Systems, Inc.",43,43,21238F10,CONTROL DATA SYSTEMS INC,21238F10,CONTROL DATA SYS INC,1957,,0,3346700032,35500,55440,0.7855700254440310,-1.6305350065231300,,0,14,1,1,Robert M. Price,1,0,1,1,1,0,1,0,0
1987,"Control Data Systems, Inc.",43,43,21238F10,CONTROL DATA SYSTEMS INC,21238F10,CONTROL DATA SYS INC,1957,,0,3366500096,34500,55440,0.7855700254440310,-1.6305350065231300,,0,12,1,1,Robert M. Price,1,0,1,1,1,0,1,0,0
1988,"Control Data Systems, Inc.",43,43,21238F10,CONTROL DATA SYSTEMS INC,21238F10,CONTROL DATA SYS INC,1957,,0,1058865024,10379,55440,0.7855700254440310,-1.6305350065231300,,0,10,1,1,Robert M. Price,1,0,1,1,1,0,1,0,0
1989,"Control Data Systems, Inc.",43,43,21238F10,CONTROL DATA SYSTEMS INC,21238F10,CONTROL DATA SYS INC,1957,,0,833590016,5488,55440,0.7855700254440310,-1.6305350065231300,,82,10,1,1,Robert M. Price,1,0,1,1,1,0,1,0,0
1990,"Control Data Systems, Inc.",43,43,21238F10,CONTROL DATA SYSTEMS INC,21238F10,CONTROL DATA SYS INC,1957,,0,578009984,4498,55440,0.7855700254440310,-1.6305350065231300,,50,8,1,1,Lawrence Perlman,1,0,1,1,0,0,1,0,0
1991,"Control Data Systems, Inc.",43,43,21238F10,CONTROL DATA SYSTEMS INC,21238F10,CONTROL DATA SYS INC,1957,,0,573643008,3918,55440,0.7855700254440310,-1.6305350065231300,,45,6,1,1,Lawrence Perlman,1,0,1,1,0,0,0,0,0
1992,"Control Data Systems, Inc.",43,43,21238F10,CONTROL DATA SYSTEMS INC,21238F10,CONTROL DATA SYS INC,1957,,0,516979008,3285,55440,0.7855700254440310,-1.6305350065231300,,54,5,1,1,James E. Ousley,1,0,1,1,0,0,0,0,0
1993,"Control Data Systems, Inc.",43,43,21238F10,CONTROL DATA SYSTEMS INC,21238F10,CONTROL DATA SYS INC,1957,,0,451800000,3142,55126,0.7868520021438600,-1.625501036643980,,54,5,1,1,James E. Ousley,1,0,1,1,0,0,0,0,0
1994,"Control Data Systems, Inc.",43,43,21238F10,CONTROL DATA SYSTEMS INC,21238F10,CONTROL DATA SYS INC,1957,Exits market,1,524227008,2890,55126,0.7868520021438600,-1.625501036643980,,39,4,1,1,James E. Ousley,1,0,1,1,1,0,0,0,0
1980,Convergent Technologies,45,45,21238F10,CONTROL DATA SYSTEMS INC,21238F10,CONTROL DATA SYS INC,1979,,0,351000,,95051,0.6518279910087590,-2.1290199756622300,1835000,0,2,1,1,Allen Michels,0,0,0,1,0,0,0,0,0
1981,Convergent Technologies,45,45,21238F10,CONTROL DATA SYSTEMS INC,21238F10,CONTROL DATA SYS INC,1979,,0,13105000,169,95051,0.6518279910087590,-2.1290199756622300,2574000,0,2,1,1,Allen Michels,0,0,0,1,0,0,0,0,0
1982,"Convergent Technologies, Inc.",45,45,21238F10,CONTROL DATA SYSTEMS INC,21238F10,CONTROL DATA SYS INC,1979,,0,96462000,589,95051,0.6518279910087590,-2.1290199756622300,7226000,0,3,1,1,Allen Michels,1,0,1,1,0,0,0,0,0
1983,"Convergent Technologies, Inc.",45,45,21247910,CONVERGENT INC,21247910,CONVERGENT INC,1979,,0,163212992,878,95051,0.6518279910087590,-2.1290199756622300,16437000,0,3,1,1,Allen Michels,1,0,1,1,0,0,0,0,0
1984,"Convergent Technologies, Inc.",45,45,21247910,CONVERGENT INC,21247910,CONVERGENT INC,1979,,1,361772000,1666,95050,0.6518340110778810,-2.128499984741210,18161000,0,3,1,1,Allen Michels,1,0,1,1,0,0,0,0,0
1985,Convergent Technologies,45,45,21247910,CONVERGENT INC,21247910,CONVERGENT INC,1979,,0,459265984,2759,95050,0.6518340110778810,-2.128499984741210,31454000,0,3,1,1,Paul Ely,1,0,1,1,0,0,0,0,0
1986,Convergent Technologies,45,45,21247910,CONVERGENT INC,21247910,CONVERGENT INC,1979,,0,305824992,2483,95134,0.6529970169067380,-2.1283140182495100,32837000,0,3,1,1,Paul Ely,1,0,1,1,0,0,0,0,0
1984,Daisy Systems Corp.,47,47,23405010,DAISY SYSTEMS CORP,23405010,DAISY SYSTEMS CORP,1981,,0,69148000,565,94039,0.6525009870529180,-2.1308369636535600,11201000,0,2,0,1,Aryeh Finegold,1,0,0,1,0,0,0,0,0
1985,Daisy Systems Corp.,47,47,23405010,DAISY SYSTEMS CORP,23405010,DAISY SYSTEMS CORP,1981,,0,122548000,923,94039,0.6525009870529180,-2.1308369636535600,21941000,0,2,0,1,Aryeh Finegold,1,0,0,1,0,0,0,0,0
1986,Daisy Systems Corp.,47,47,23405010,DAISY SYSTEMS CORP,23405010,DAISY SYSTEMS CORP,1981,,0,107149000,883,94039,0.6525009870529180,-2.1308369636535600,25419000,0,2,0,1,Harvey C. Jones,1,0,0,1,0,0,0,0,0
1987,Daisy Systems Corp.,47,47,23405010,DAISY SYSTEMS CORP,23405010,DAISY SYSTEMS CORP,1981,,0,100860000,801,94039,0.6525009870529180,-2.1308369636535600,24032000,0,2,0,1,Harvey C. Jones,1,0,0,1,0,0,0,0,0
1988,Daisy Systems Corp.,47,47,23405010,DAISY SYSTEMS CORP,23405010,DAISY SYSTEMS CORP,1981,,0,117400000,860,94039,0.6525009870529180,-2.1308369636535600,20801000,0,2,0,1,Norman E. Friedmann,1,0,0,1,0,0,0,0,0
1989,Daisy Systems Corp.,47,47,23405010,DAISY SYSTEMS CORP,23405010,DAISY SYSTEMS CORP,1981,,0,107000000,800,94043,0.6528499722480770,-2.130652904510500,,10,2,0,1,Norman E. Friedmann,1,0,0,1,0,0,0,0,0
1990,Daisy Systems Corp.,47,47,23405010,DAISY SYSTEMS CORP,23405010,DAISY SYSTEMS CORP,1981,Changed name,4,107000000,800,94043,0.6528499722480770,-2.130652904510500,,10,2,0,1,Norman E. Friedmann,1,0,0,1,0,0,0,0,0
1991,"Daisy/Cadnetix, Inc.",47,47,,,,,1981,Firm went bankrupt,1,120000000,900,80301,0.6990000009536740,-1.8363349437713600,,4,2,0,1,Gary J. Sbona,1,0,0,1,0,0,0,0,0
1994,"Darius Technology, Ltd.",49,49,,,,,1986,,0,37000000,40,,,,,7,2,1,0,Benjamin Tam,1,0,0,0,0,1,0,0,0
1995,"Darius Technology, Ltd.",49,49,,,,,1986,,1,37000000,40,,,,,1,1,1,0,Benjamin Tam,1,0,0,0,0,1,0,0,0
1983,Data-Stat Company,50,50,,,,,,,1,1,,,,,,0,0,0,1,,,0,0,0,0,0,0,0,0
1986,Data General Corp.,51,51,23768810,DATA GENERAL CORP,23768810,DATA GENERAL CORP,1968,,0,1900000000,15200,1580,0.7377139925956730,-1.2499630451202400,,0,11,1,1,Edson deCastro,1,0,1,1,1,0,1,1,0
1987,Data General Corp.,51,51,23768810,DATA GENERAL CORP,23768810,DATA GENERAL CORP,1968,,0,1268000000,16560,1580,0.7377139925956730,-1.2499630451202400,,0,14,1,1,Edson deCastro,1,0,1,1,1,1,1,1,0
1988,Data General Corp.,51,51,23768810,DATA GENERAL CORP,23768810,DATA GENERAL CORP,1968,,0,1271170048,16600,1580,0.7377139925956730,-1.2499630451202400,,0,16,1,1,Edson deCastro,1,0,1,1,1,1,1,1,0
1989,Data General Corp.,51,51,23768810,DATA GENERAL CORP,23768810,DATA GENERAL CORP,1968,,0,1274348032,15395,1580,0.7377139925956730,-1.2499630451202400,,126,17,1,1,Edson deCastro,1,0,1,1,1,1,1,1,0
1990,Data General Corp.,51,51,23768810,DATA GENERAL CORP,23768810,DATA GENERAL CORP,1968,,0,1364733952,14895,1580,0.7377139925956730,-1.2499630451202400,,145,18,1,1,Edson deCastro,1,0,1,1,1,1,1,1,0
1991,Data General Corp.,51,51,23768810,DATA GENERAL CORP,23768810,DATA GENERAL CORP,1968,,0,1314400000,14000,1580,0.7377139925956730,-1.2499630451202400,,178,18,1,1,Ronald L. Skates,1,0,1,1,1,1,1,1,0
1992,Data General Corp.,51,51,23768810,DATA GENERAL CORP,23768810,DATA GENERAL CORP,1968,,0,1200000000,9400,1580,0.7377139925956730,-1.2499630451202400,,175,14,1,1,Ronald L. Skates,1,0,1,1,1,0,1,1,0
1993,Data General Corp.,51,51,23768810,DATA GENERAL CORP,23768810,DATA GENERAL CORP,1968,,0,1200000000,9400,1580,0.7377139925956730,-1.2499630451202400,,88,11,1,1,Ronald L. Skates,1,0,1,1,1,0,1,0,0
1994,Data General Corp.,51,51,23768810,DATA GENERAL CORP,23768810,DATA GENERAL CORP,1968,,0,1080000000,6800,1580,0.7377139925956730,-1.2499630451202400,,97,11,1,1,Ronald L. Skates,1,0,1,1,1,0,1,0,0
1995,Data General Corp.,51,51,23768810,DATA GENERAL CORP,23768810,DATA GENERAL CORP,1968,,0,1080000000,6350,1580,0.7377139925956730,-1.2499630451202400,,82,8,1,1,Ronald L. Skates,1,0,1,1,0,0,1,0,0
1996,Data General Corp.,51,51,23768810,DATA GENERAL CORP,23768810,DATA GENERAL CORP,1968,,0,1120000000,6350,1580,0.7377139925956730,-1.2499630451202400,,98,8,1,1,Ronald L. Skates,1,0,1,1,0,0,1,0,0
1988,Datamedia Corp.,52,52,,,,,1977,,0,39432520,230,3063,0.7465069890022280,-1.2481399774551400,,0,4,1,1,Guy A. Daniello,0,0,0,1,0,0,0,0,0
1989,Datamedia Corp.,52,52,,,,,1977,,0,44844828,230,3063,0.7465069890022280,-1.2481399774551400,,6,5,1,1,Guy A. Daniello,0,0,0,1,0,0,0,0,0
1990,Datamedia Corp.,52,52,,,,,1977,,0,51000000,277,3063,0.7465069890022280,-1.2481399774551400,,3,3,1,1,Guy A. Daniello,0,0,0,1,0,0,0,0,0
1991,Datamedia Corp.,52,52,,,,,1977,,0,58000000,300,3063,0.7465069890022280,-1.2481399774551400,,13,2,1,1,Guy A. Daniello,0,0,0,1,0,0,0,0,0
1992,Datamedia Corp.,52,52,,,,,1977,Stays on as software producer,1,58000000,300,3063,0.7465069890022280,-1.2481399774551400,,16,3,1,1,Guy A. Daniello,0,0,0,1,0,0,0,0,0
1995,DEC Direct/Digital PC,53,53,,,,,1957,Changed to DEC name,1,13500000256,84000,1888,0.7415339946746830,-1.2418849468231200,,39,1,1,1,Robert B. Palmer,2,0,1,1,1,1,1,1,0
1984,Decision Graphics,54,54,,,,,1973,,0,1,,1772,0.7381680011749270,-1.2484689950943000,,0,1,0,1,John Nilsson,0,0,0,1,0,0,0,0,0
1985,Decision Graphics,54,54,,,,,1973,,0,1,,1772,0.7381680011749270,-1.2484689950943000,,0,1,0,1,John Nilsson,0,0,0,1,0,0,0,0,0
1986,Decision Graphics,54,54,,,,,1973,,1,1,5,1581,0.7377139925956730,-1.2499630451202400,,0,1,0,1,John Nilsson,0,0,0,1,0,0,0,0,0
1993,"Deskstation Technology, Inc.",55,55,,,,,,Continues w/ NT OS,0,1,,66215,0.6800330281257630,-1.6535240411758400,,2,2,1,0,,0,0,0,0,0,0,0,0,1
1995,"Dicomed, Inc",56,56,,,,,1990,,0,50000000,60,55337,0.7812240123748780,-1.6279619932174700,,3,2,0,1,Orvin Kirschbaum,0,0,0,0,0,0,0,0,0
1996,"Dicomed, Inc",56,56,,,,,1990,,0,50000000,60,55337,0.7812240123748780,-1.6279619932174700,,5,2,0,1,Trevor Haworth,0,0,0,0,0,0,0,0,0
1985,Digital Equipment Corp. (DEC),57,57,25384910,DIGITAL EQUIPMENT,25384910,DIGITAL EQUIPMENT,1957,,0,5882476544,,1754,0.7405800223350530,-1.2471250295639000,,0,24,1,1,Kenneth H. Olsen,1,0,1,1,1,0,1,1,0
1986,Digital Equipment Corp. (DEC),57,57,25384910,DIGITAL EQUIPMENT,25384910,DIGITAL EQUIPMENT,1957,,0,6686316032,89200,1754,0.7405800223350530,-1.2471250295639000,,0,24,1,1,Kenneth H. Olsen,1,0,1,1,1,1,1,1,0
1987,Digital Equipment Corp. (DEC),57,57,25384910,DIGITAL EQUIPMENT,25384910,DIGITAL EQUIPMENT,1957,,0,7600000000,98000,1754,0.7405800223350530,-1.2471250295639000,,0,26,1,1,Kenneth H. Olsen,1,0,1,1,1,1,1,1,0
1988,Digital Equipment Corp. (DEC),57,57,25384910,DIGITAL EQUIPMENT,25384910,DIGITAL EQUIPMENT,1957,,0,9400000512,110500,1754,0.7405800223350530,-1.2471250295639000,,0,20,1,1,Kenneth H. Olsen,1,0,1,1,1,1,1,1,0
1989,Digital Equipment Corp. (DEC),57,57,25384910,DIGITAL EQUIPMENT,25384910,DIGITAL EQUIPMENT,1957,,0,9400000512,118600,1754,0.7405800223350530,-1.2471250295639000,,140,20,1,1,Kenneth H. Olsen,1,0,1,1,1,1,1,1,0
1990,Digital Equipment Corp. (DEC),57,57,25384910,DIGITAL EQUIPMENT,25384910,DIGITAL EQUIPMENT,1957,,0,12741955584,125700,1754,0.7405800223350530,-1.2471250295639000,,182,22,1,1,Kenneth H. Olsen,1,0,1,1,1,1,1,1,0
1991,Digital Equipment Corp. (DEC),57,57,25384910,DIGITAL EQUIPMENT,25384910,DIGITAL EQUIPMENT,1957,,0,12094000128,125800,1754,0.7405800223350530,-1.2471250295639000,,218,24,1,1,Kenneth H. Olsen,1,0,1,1,1,1,1,1,0
